Price,Year,Kms,Miles,Fuel,Transmission,Owner,Seller,Drivetrain,Length,Width,Height,Seating
5992,2020,4295,2668.788445,Petrol,Manual,First,Individual,FWD,3636,1475,1670,5
9800,2018,82000,50952.422,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5
3304,2010,33000,20505.243,Petrol,Manual,First,Individual,FWD,4160,1690,1530,5
10863.9888,2018,68000,42253.228,Diesel,Manual,First,Individual,FWD,4270,1780,1665,5
19040,2022,8530,5300.29463,Petrol,Automatic,UnRegistered Car,Individual,FWD,4549,1748,1489,5
20047.9888,2018,46000,28583.066,Petrol,Automatic,First,Individual,FWD,4475,1850,1660,5
22007.9888,2020,26000,16155.646,Petrol,Manual,First,Individual,RWD,4735,1830,1795,7
44800,2014,39394,24478.289174,Petrol,Automatic,Second,Individual,AWD,4198,1842,1353,2
5431.9888,2018,35000,21747.985,Petrol,Automatic,First,Individual,FWD,3746,1647,1535,5
6496,2019,17881,11110.734851,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5
5040,2014,48409,30079.948739,Petrol,Manual,Second,Individual,FWD,4440,1695,1495,5
3976,2020,40000,24854.84,Petrol,Manual,First,Individual,FWD,3395,1490,1475,5
26600,2017,61643,38303.172553,Diesel,Automatic,First,Individual,AWD,4385,1831,1608,5
11760,2022,1500,932.0565,Petrol,Manual,First,Individual,FWD,3993,1811,1606,5
4984,2014,38985,24224.148435,Diesel,Manual,First,Individual,FWD,3998,1765,1647,5
5544,2015,52000,32311.292,Petrol,Manual,First,Individual,FWD,3955,1694,1544,5
3080,2011,42000,26097.582,Petrol,Manual,First,Individual,FWD,3585,1595,1550,5
5208,2014,29442,18294.404982,Petrol,Automatic,First,Individual,FWD,3990,1680,1505,5
11760,2017,71800,44614.4378,Diesel,Manual,First,Individual,FWD,4395,1818,1640,5
7784,2020,18000,11184.678,CNG,Manual,First,Individual,FWD,3805,1680,1520,5
35952,2018,37000,22990.727,Diesel,Automatic,First,Individual,RWD,4795,1855,1835,7
3012.8,2009,85000,52816.535,Petrol,Manual,Second,Individual,FWD,4420,1695,1480,5
4984,2018,65555,40733.975905,Diesel,Manual,Second,Individual,FWD,3995,1660,1520,5
42560,2018,87000,54059.277,Diesel,Automatic,First,Individual,AWD,4657,1881,1678,5
11200,2018,42000,26097.582,Petrol,Automatic,First,Individual,FWD,4270,1780,1630,5
16688,2018,68000,42253.228,Diesel,Manual,Second,Individual,AWD,4456,1820,1995,7
17360,2022,600,372.8226,Petrol,Manual,First,Individual,FWD,4323,1809,1650,5
5431.9888,2017,86006,53441.634226,Diesel,Manual,First,Individual,FWD,3884,1695,1510,5
4760,2014,75000,46602.825,Diesel,Manual,First,Individual,FWD,4440,1695,1495,5
12880,2014,99000,61515.729,Diesel,Manual,First,Individual,RWD,4456,1820,1995,8
35784,2021,21651,13453.303521,Petrol,Automatic,First,Individual,FWD,4861,1864,1483,5
8120,2016,84000,52195.164,Diesel,Manual,First,Individual,FWD,3995,1760,1555,5
27440,2014,65000,40389.115,Diesel,Automatic,Second,Individual,AWD,4804,2141,1796,5
8299.2,2017,31000,19262.501,Petrol,Automatic,First,Individual,FWD,4490,1730,1485,5
17360,2020,28000,17398.388,Diesel,Manual,First,Individual,AWD,3985,1820,1920,6
7224,2015,64000,39767.744,Diesel,Manual,First,Individual,FWD,4440,1695,1495,5
6160,2014,85000,52816.535,Diesel,Manual,First,Individual,FWD,4440,1695,1495,5
6664,2017,35000,21747.985,Petrol,Automatic,Third,Individual,FWD,3995,1745,1500,5
17864,2015,44000,27340.324,Diesel,Automatic,First,Individual,FWD,4370,1783,1458,5
5600,2017,32000,19883.872,Petrol,Automatic,Second,Individual,FWD,3715,1635,1565,5
3864,2016,49857,30979.693947,Petrol,Manual,First,Individual,FWD,3599,1495,1700,5
3348.8,2013,46000,28583.066,Petrol,Manual,First,Individual,FWD,3636,1475,1670,5
1792,2008,50000,31068.55,Petrol,Manual,Second,Individual,FWD,3520,1475,1690,5
6384,2017,36000,22369.356,Petrol,Automatic,First,Individual,FWD,3995,1745,1500,5
8960,2021,13000,8077.823,Petrol,Automatic,First,Individual,FWD,3991,1750,1605,5
3528,2013,45000,27961.695,Petrol,Manual,First,Individual,FWD,3515,1500,1510,5
20720,2011,26000,16155.646,Petrol,Automatic,First,Individual,RWD,5226,2120,1479,5
6832,2022,3800,2361.2098,CNG,Manual,First,Individual,FWD,3565,1520,1564,4
22344,2018,35123,21824.413633,Diesel,Manual,First,Individual,RWD,4735,1830,1795,8
21000,2021,21000,13048.791,Diesel,Automatic,First,Individual,FWD,4315,1800,1645,5
19588.7888,2022,2670,1659.06057,Petrol,Automatic,First,Individual,FWD,4300,1790,1635,5
7168,2016,124000,77050.004,Diesel,Manual,First,Individual,FWD,4386,1699,1466,5
8724.8,2016,9889,6144.737819,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5
16240,2021,13000,8077.823,Petrol,Automatic,First,Individual,FWD,4440,1695,1495,5
9968,2018,35000,21747.985,Petrol,Automatic,First,Individual,FWD,3994,1811,1607,5
7000,2017,51145,31780.019795,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5
32480,2011,56000,34796.776,Petrol,Automatic,Third,Individual,AWD,4649,1860,1366,5
28000,2017,82900,51511.6559,Diesel,Automatic,First,Individual,FWD,4861,1864,1483,5
3024,2015,64000,39767.744,Petrol,Manual,First,Individual,FWD,3795,1680,1427,5
9240,2019,9644,5992.501924,Petrol,Automatic,First,Individual,FWD,3995,1735,1515,5
4760,2017,41624,25863.946504,Petrol,Automatic,Second,Individual,FWD,3695,1600,1560,5
5151.9888,2016,82844,51476.859124,Diesel,Manual,First,Individual,FWD,3765,1660,1520,5
10976,2011,78000,48466.938,Petrol,Automatic,Second,Individual,RWD,4868,1854,1471,5
8836.8,2017,60444,37558.148724,Petrol,Manual,First,Individual,FWD,4315,1822,1695,5
8680,2014,125000,77671.375,Diesel,Manual,First,Individual,RWD,4456,1820,1995,8
15680,2019,13000,8077.823,Petrol,Automatic,First,Individual,FWD,4270,1780,1630,5
8624,2015,112000,69593.552,Diesel,Manual,First,Individual,FWD,4265,1695,1685,7
5040,2016,53300,33119.0743,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5
9408,2019,34000,21126.614,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5
44800,2017,25500,15844.9605,Diesel,Automatic,Second,Individual,AWD,4360,2120,1635,5
7728,2015,157662,97966.594602,Diesel,Manual,Second,Individual,FWD,4585,1890,1785,7
31360,2018,20000,12427.42,Diesel,Automatic,First,Individual,FWD,4630,1777,1432,5
5880,2018,78900,49026.1719,Diesel,Manual,First,Individual,FWD,3995,1660,1520,5
13440,2017,95785,59518.021235,Diesel,Automatic,First,Individual,RWD,4788,1903,1791,7
6944,2017,92000,57166.132,Diesel,Manual,First,Individual,FWD,3998,1765,1647,5
22388.7888,2017,39328,24437.278688,Diesel,Automatic,First,Individual,FWD,4630,1777,1432,5
30520,2020,18625,11573.034875,Diesel,Automatic,First,Individual,RWD,4735,1830,1795,7
6608,2019,26000,16155.646,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5
16676.8,2014,81000,50331.051,Diesel,Automatic,Second,Individual,FWD,4097,1789,1561,5
7672,2018,92000,57166.132,Diesel,Automatic,First,Individual,FWD,3995,1735,1515,5
12555.2,2019,38000,23612.098,Diesel,Manual,First,Individual,RWD,4456,1820,1930,7
6104,2019,10340,6424.97614,Petrol,Manual,First,Individual,FWD,3599,1495,1700,5
15120,2015,47706,29643.124926,Diesel,Automatic,First,Individual,AWD,4385,1831,1608,5
14548.8,2021,13400,8326.3714,Petrol,Manual,First,Individual,FWD,4445,1775,1700,6
5040,2016,44613,27721.224423,Diesel,Manual,First,Individual,FWD,3995,1695,1525,5
6160,2019,29000,18019.759,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5
49168,2020,23000,14291.533,Diesel,Automatic,First,Corporate,RWD,4633,1811,1429,5
4984,2015,67580,41992.25218,CNG,Manual,First,Individual,FWD,3599,1495,1700,5
5544,2015,42000,26097.582,Petrol,Manual,First,Individual,FWD,4375,1700,1475,5
4032,2015,16205,10069.317055,Petrol,Manual,First,Individual,FWD,3515,1550,1510,5
3864,2007,92000,57166.132,Petrol,Automatic,Third,Individual,AWD,4470,1810,1695,5
6328,2016,29000,18019.759,Petrol,Automatic,First,Individual,FWD,3765,1660,1520,5
6888,2017,69000,42874.599,Diesel,Automatic,First,Individual,RWD,3995,1835,1839,7
5880,2015,114635,71230.864585,Diesel,Manual,First,Individual,FWD,4440,1695,1495,5
29680,2018,50000,31068.55,Diesel,Automatic,Second,Individual,RWD,4454,2044,1545,5
42392,2019,29221,18157.081991,Diesel,Automatic,First,Individual,RWD,4454,2044,1545,5
13160,2012,77000,47845.567,Diesel,Automatic,Second,Individual,FWD,4915,1874,1455,5
16240,2013,70000,43495.97,Diesel,Automatic,Second,Individual,RWD,4624,2031,1429,5
15568,2022,32000,19883.872,Petrol,Automatic,First,Individual,FWD,4549,1748,1489,5
33488,2020,17904,11125.026384,Diesel,Automatic,First,Individual,AWD,4486,1839,1672,5
24080,2012,95000,59030.245,Diesel,Automatic,First,Individual,AWD,4355,2120,1635,5
4480,2016,67850,42160.02235,CNG,Manual,First,Individual,FWD,3599,1495,1700,5
548.8,2010,60000,37282.26,Petrol,Manual,First,Individual,RWD,3099,1495,1652,4
6832,2017,105000,65243.955,Diesel,Manual,First,Corporate,FWD,3850,1695,1530,5
12040,2019,45000,27961.695,Petrol,Automatic,First,Individual,FWD,4270,1780,1665,5
14795.2,2018,38000,23612.098,Petrol,Automatic,First,Corporate,FWD,4620,1775,1475,5
10640,2020,55055,34209.580405,Diesel,Manual,First,Individual,FWD,4300,1785,1595,5
9240,2021,22000,13670.162,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5
14560,2013,95000,59030.245,Diesel,Manual,Second,Individual,AWD,4695,1815,1840,7
5208,2014,25704,15971.720184,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5
5320,2016,55353,34394.748963,Diesel,Manual,Second,Individual,FWD,3995,1695,1555,5
19880,2015,80000,49709.68,Diesel,Automatic,First,Individual,AWD,4385,1831,1608,5
9240,2018,62000,38525.002,Petrol,Automatic,First,Corporate,FWD,4390,1699,1467,5
38640,2019,41526,25803.052146,Diesel,Automatic,First,Individual,AWD,4892,1860,1837,7
4244.8,2018,29434,18289.434014,Petrol,Manual,Second,Individual,FWD,3746,1647,1535,5
2688,2017,42000,26097.582,Petrol,Manual,First,Individual,FWD,3785,1635,1485,5
17080,2021,14000,8699.194,Petrol,Manual,First,Individual,FWD,4315,1800,1645,5
15680,2014,35000,21747.985,Diesel,Automatic,First,Individual,RWD,4624,2031,1429,5
27440,2018,61000,37903.631,Diesel,Automatic,Second,Individual,FWD,4424,1804,1494,5
20047.9888,2015,45000,27961.695,Diesel,Automatic,First,Individual,FWD,4417,1804,1494,5
47880,2019,31000,19262.501,Diesel,Automatic,First,Individual,RWD,4686,1810,1442,5
8680,2020,39000,24233.469,Petrol,Manual,First,Individual,FWD,3995,1775,1505,5
2575.9888,2012,52000,32311.292,Petrol,Manual,First,Individual,FWD,3600,1495,1595,5
3360,2018,51000,31689.921,Petrol,Manual,First,Individual,FWD,3495,1550,1500,5
1792,2011,72000,44738.712,Petrol,Manual,First,Individual,FWD,3545,1490,1475,5
18872,2016,80251,49865.644121,Diesel,Automatic,Second,Individual,AWD,4385,1831,1608,5
3024,2010,86000,53437.906,Petrol,Manual,Second,Individual,FWD,3565,1595,1550,5
2352,2014,42505,26411.374355,Petrol,Manual,First,Individual,FWD,3395,1490,1475,5
7000,2017,42000,26097.582,Petrol,Manual,First,Individual,FWD,3985,1734,1505,5
16688,2019,57600,35790.9696,Petrol,Automatic,First,Individual,FWD,4315,1800,1645,5
12264,2018,57000,35418.147,Diesel,Manual,First,Individual,FWD,4585,1890,1785,7
9520,2014,85000,52816.535,Diesel,Automatic,First,Individual,AWD,5060,1788,1826,7
17920,2016,128000,79535.488,Diesel,Automatic,Second,Corporate,FWD,4475,1850,1660,5
2968,2011,66000,41010.486,Petrol,Manual,First,Individual,FWD,4265,1695,1510,5
4032,2013,58000,36039.518,Petrol,Manual,First,Individual,FWD,4384,1699,1466,5
16632,2015,64120,39842.30852,Diesel,Manual,Second,Individual,RWD,4705,1840,1850,7
8960,2017,82300,51138.8333,Petrol,Manual,First,Individual,FWD,4490,1730,1485,5
7952,2017,73000,45360.083,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5
7952,2018,72000,44738.712,Diesel,Manual,First,Individual,FWD,4300,1765,1590,5
8064,2018,50197,31190.960087,Petrol,Manual,First,Individual,FWD,3971,1682,1469,5
4424,2014,44527,27667.786517,Petrol,Manual,First,Individual,FWD,3990,1680,1505,5
31348.8,2017,72400,44987.2604,Diesel,Automatic,First,Individual,FWD,4726,1842,1427,5
5096,2014,50000,31068.55,Petrol,Manual,Second,Individual,FWD,3999,1765,1708,5
7728,2014,37000,22990.727,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5
22344,2020,8000,4970.968,Diesel,Automatic,First,Individual,FWD,4598,1894,1706,5
19600,2014,69000,42874.599,Diesel,Automatic,Second,Individual,RWD,4899,2094,1464,5
32480,2019,25000,15534.275,Diesel,Automatic,First,Individual,RWD,4454,2044,1545,5
5040,2013,61000,37903.631,Petrol,Manual,First,Individual,FWD,4440,1695,1485,5
24068.8,2015,69000,42874.599,Diesel,Automatic,First,Individual,RWD,4936,1868,1479,5
47040,2015,77000,47845.567,Diesel,Automatic,Second,Individual,AWD,5120,1934,1850,7
9632,2018,82200,51076.6962,Diesel,Manual,First,Individual,FWD,3994,1811,1607,5
9800,2018,28000,17398.388,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5
6496,2011,117000,72700.407,Diesel,Manual,Second,Individual,AWD,4430,1817,1975,7
39200,2021,7900,4908.8309,Diesel,Automatic,First,Individual,AWD,4985,1926,1867,6
2575.9888,2010,72000,44738.712,Petrol,Manual,First,Individual,FWD,4160,1690,1530,5
16945.6,2015,79000,49088.309,Diesel,Automatic,Second,Individual,AWD,4385,1831,1608,5
2620.8,2013,72600,45111.5346,Petrol,Manual,First,Individual,FWD,3620,1475,1460,5
3584,2018,42313,26292.071123,Petrol,Automatic,Second,Individual,FWD,3429,1560,1541,5
11480,2019,90000,55923.39,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5
7056,2017,36000,22369.356,Diesel,Manual,First,Individual,FWD,3995,1735,1515,5
12208,2020,26200,16279.9202,Petrol,Automatic,First,Individual,FWD,3995,1770,1605,5
7840,2019,11000,6835.081,Petrol,Manual,Second,Individual,FWD,3840,1735,1530,5
7403.2,2021,14366,8926.615786,Petrol,Manual,First,Individual,FWD,3845,1735,1530,5
6328,2017,65000,40389.115,Diesel,Manual,Second,Individual,RWD,3995,1835,1839,7
8400,2014,126000,78292.746,Diesel,Manual,First,Individual,RWD,4585,1760,1760,7
20720,2015,71700,44552.3007,Diesel,Automatic,Second,Individual,AWD,4385,1831,1608,5
9520,2016,114000,70836.294,Diesel,Manual,First,Individual,FWD,4585,1890,1785,7
5992,2016,58339,36250.162769,Diesel,Manual,First,Individual,FWD,3985,1734,1505,5
8624,2019,72040,44763.56684,Diesel,Automatic,First,Individual,FWD,3995,1735,1515,5
40880,2019,6000,3728.226,Petrol,Automatic,First,Individual,RWD,4633,1811,1429,5
13384,2022,6200,3852.5002,Petrol,Manual,First,Individual,FWD,3995,1790,1647,5
18480,2012,44000,27340.324,Petrol,Automatic,Third,Individual,RWD,5226,2120,1479,5
35828.8,2021,6900,4287.4599,Petrol,Automatic,First,Individual,FWD,4861,1864,1483,5
7000,2016,68000,42253.228,Petrol,Automatic,First,Individual,FWD,3971,1682,1469,5
8344,2018,36000,22369.356,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5
6171.2,2021,19000,11806.049,Petrol,Manual,First,Individual,FWD,3610,1645,1560,5
36960,2019,6400,3976.7744,Diesel,Automatic,First,Individual,FWD,3821,1727,1414,5
36400,2019,34000,21126.614,Diesel,Automatic,First,Individual,AWD,4903,1869,1837,7
7728,2016,35000,21747.985,Diesel,Automatic,Second,Individual,FWD,4315,1822,1695,5
10023.9888,2019,46000,28583.066,Diesel,Automatic,First,Individual,FWD,3995,1790,1640,5
6160,2016,83000,51573.793,Diesel,Manual,First,Individual,FWD,4386,1699,1466,5
4468.8,2013,54000,33554.034,Diesel,Manual,Third,Individual,FWD,3999,1765,1708,5
14280,2020,42000,26097.582,Petrol,Manual,First,Individual,FWD,4315,1800,1645,5
5992,2020,41441,25750.235611,Petrol,Manual,First,Individual,RWD,3675,1475,1800,5
9240,2018,48174,29933.926554,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5
6552,2016,62591,38892.232261,Diesel,Manual,First,Individual,FWD,3998,1765,1647,5
7560,2017,48650,30229.69915,Petrol,Automatic,First,Individual,FWD,3955,1694,1544,5
8904,2017,52245,32463.527895,Diesel,Manual,First,Individual,FWD,4300,1785,1595,5
6843.2,2017,65000,40389.115,Diesel,Manual,First,Individual,FWD,3985,1734,1505,5
4368,2015,43297,26903.500187,Petrol,Manual,First,Individual,FWD,3599,1495,1700,5
7280,2019,44710,27781.49741,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5
4368,2013,62000,38525.002,Diesel,Manual,First,Individual,FWD,4618,1813,1488,5
26880,2017,59267,36826.795057,Diesel,Automatic,First,Individual,FWD,4726,1842,1427,5
4312,2011,69000,42874.599,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5
7268.8,2020,52236,32457.935556,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5
32480,2019,15530,9649.89163,Diesel,Automatic,First,Individual,FWD,4456,1796,1416,5
4480,2014,64000,39767.744,Diesel,Manual,First,Individual,FWD,3995,1695,1555,5
6708.8,2020,35000,21747.985,Petrol,Automatic,First,Individual,FWD,3805,1680,1520,5
33376,2019,92000,57166.132,Diesel,Manual,First,Individual,RWD,4795,1855,1835,7
39200,2018,18000,11184.678,Petrol,Automatic,First,Individual,FWD,4726,1842,1427,5
4480,2016,50000,31068.55,Petrol,Manual,First,Individual,FWD,3955,1694,1544,5
41440,2015,103890,64554.23319,Diesel,Automatic,Second,Individual,AWD,5120,1934,1850,7
4984,2018,71000,44117.341,Petrol,Manual,First,Individual,FWD,3600,1600,1560,5
16520,2021,12000,7456.452,Diesel,Manual,First,Individual,AWD,3985,1820,1844,4
31360,2016,93000,57787.503,Diesel,Automatic,First,Individual,RWD,4795,1855,1835,7
6720,2020,10000,6213.71,Petrol,Manual,First,Individual,FWD,3850,1695,1530,5
20552,2020,33828,21019.738188,Diesel,Automatic,First,Individual,FWD,4315,1800,1645,5
6160,2019,48000,29825.808,CNG,Manual,First,Individual,FWD,3655,1620,1675,5
8008,2017,71000,44117.341,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5
28448,2022,18000,11184.678,Diesel,Automatic,First,Individual,FWD,4695,1890,1755,7
5880,2019,50000,31068.55,CNG,Manual,First,Individual,FWD,3655,1620,1675,5
4760,2015,48000,29825.808,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5
8904,2022,4000,2485.484,Petrol,Automatic,First,Individual,FWD,3995,1775,1505,5
3012.8,2010,73000,45360.083,Petrol,Manual,Second,Individual,FWD,4420,1695,1480,5
6328,2014,68000,42253.228,Diesel,Manual,First,Individual,FWD,4370,1700,1475,5
28560,2015,70000,43495.97,Diesel,Automatic,Second,Individual,RWD,4899,2094,1464,5
5924.8,2015,57654,35824.523634,Petrol,Manual,First,Individual,FWD,3995,1760,1555,5
4480,2019,22000,13670.162,Petrol,Manual,First,Individual,FWD,3545,1490,1475,5
10920,2019,41792,25968.336832,Petrol,Manual,First,Individual,FWD,4445,1775,1700,6
29120,2017,41000,25476.211,Diesel,Automatic,First,Individual,FWD,4439,1821,1612,5
26768,2013,107021,66499.745791,Diesel,Automatic,Second,Individual,AWD,5120,1934,1850,7
17360,2019,17000,10563.307,Petrol,Manual,First,Individual,FWD,4315,1800,1645,5
4816,2019,57993,36035.168403,Petrol,Automatic,First,Individual,FWD,3545,1490,1475,5
6720,2018,32000,19883.872,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5
18480,2018,25914,16102.208094,Petrol,Automatic,First,Corporate,FWD,4620,1775,1475,5
2800,2014,114000,70836.294,Petrol,Manual,Second,Individual,FWD,3620,1475,1460,5
11143.9888,2016,105000,65243.955,Diesel,Automatic,Second,Individual,FWD,4585,1890,1785,7
7560,2016,45000,27961.695,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5
5096,2014,30183,18754.840893,Petrol,Manual,First,Individual,FWD,3995,1695,1555,5
3864,2016,73190,45478.14349,Petrol,Manual,Second,Individual,FWD,3599,1495,1700,5
7840,2014,64000,39767.744,Petrol,Manual,First,Individual,FWD,4530,1775,1470,5
5588.8,2014,140000,86991.94,Diesel,Manual,First,Individual,FWD,4440,1695,1495,5
6608,2015,39000,24233.469,Petrol,Manual,First,Individual,FWD,4490,1730,1485,5
5488,2014,56918,35367.194578,Petrol,Automatic,Second,Individual,FWD,3825,1665,1530,5
7784,2018,55000,34175.405,Diesel,Automatic,First,Individual,FWD,3995,1735,1515,5
11480,2019,42000,26097.582,Diesel,Manual,First,Individual,FWD,3995,1770,1605,5
37800,2021,25000,15534.275,Petrol,Automatic,First,Individual,AWD,4701,1839,1674,7
25200,2019,28000,17398.388,Diesel,Manual,First,Individual,RWD,4735,1830,1795,8
29680,2018,43000,26718.953,Diesel,Automatic,Second,Individual,FWD,4424,1804,1494,5
8008,2021,16000,9941.936,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5
13440,2019,27657,17185.257747,Diesel,Automatic,Second,Individual,FWD,4270,1780,1665,5
3080,2012,30000,18641.13,Petrol,Manual,First,Individual,FWD,3515,1500,1510,5
4984,2012,111000,68972.181,Petrol,Manual,First,Individual,FWD,4440,1695,1485,5
20720,2016,37600,23363.5496,Diesel,Automatic,First,Individual,FWD,4299,1780,1433,4
7448,2017,48000,29825.808,Diesel,Manual,First,Individual,FWD,3995,1745,1500,5
12208,2019,37000,22990.727,Diesel,Manual,First,Individual,FWD,4270,1780,1665,5
26880,2017,81802,50829.390542,Diesel,Automatic,Second,Individual,FWD,4933,1874,1455,5
12152,2018,45915,28530.249465,Diesel,Automatic,First,Individual,FWD,4440,1729,1475,5
23968,2021,24000,14912.904,Petrol,Automatic,First,Individual,FWD,4500,1790,1675,6
8904,2019,22224,13809.349104,Petrol,Automatic,First,Individual,FWD,3995,1695,1501,5
12096,2021,38000,23612.098,CNG,Manual,First,Individual,FWD,4296,1695,1685,7
7033.6,2018,53848,33459.585608,Petrol,Manual,First,Individual,FWD,3995,1695,1501,5
17360,2013,104264,64786.625944,Diesel,Automatic,Second,Individual,RWD,4633,1811,1429,5
26880,2016,61159,38002.428989,Petrol,Automatic,Second,Individual,RWD,4879,1854,1474,5
6664,2015,72000,44738.712,Petrol,Manual,First,Individual,FWD,4440,1695,1495,5
38640,2016,29000,18019.759,Diesel,Automatic,First,Individual,AWD,4465,1900,1635,5
9183.9888,2018,42000,26097.582,Petrol,Manual,First,Individual,FWD,3999,1734,1601,5
16688,2012,40000,24854.84,Diesel,Automatic,First,Individual,AWD,4629,1898,1653,5
10640,2020,57400,35666.6954,Diesel,Manual,First,Individual,FWD,3995,1821,1627,5
42000,2019,13500,8388.5085,Diesel,Automatic,Second,Individual,RWD,5067,2091,1457,5
33040,2021,38000,23612.098,Diesel,Automatic,First,Individual,AWD,4405,1818,1640,5
14448,2012,121000,75185.891,Diesel,Manual,Second,Individual,AWD,4705,1840,1850,7
7000,2015,76000,47224.196,Diesel,Manual,First,Individual,FWD,3775,1695,1510,5
16688,2018,50000,31068.55,Diesel,Manual,First,Individual,FWD,4585,1890,1785,7
3640,2013,46721,29031.074491,Petrol,Automatic,Second,Individual,FWD,3565,1595,1550,5
13328,2017,41470,25768.25537,Diesel,Automatic,First,Individual,FWD,4585,1890,1785,7
7000,2013,170000,105633.07,Diesel,Manual,Third,Individual,RWD,4430,1817,1975,8
12745.6,2018,6000,3728.226,Petrol,Automatic,First,Corporate,FWD,4440,1695,1495,5
47600,2021,17000,10563.307,Petrol,Automatic,First,Individual,FWD,4701,1826,1427,5
4088,2014,31000,19262.501,Petrol,Manual,First,Individual,FWD,3610,1680,1500,5
5320,2014,73265,45524.746315,Diesel,Automatic,Second,Individual,FWD,4597,1788,1477,5
13720,2019,47000,29204.437,Diesel,Manual,First,Individual,FWD,4270,1780,1665,5
8120,2017,42000,26097.582,Diesel,Manual,First,Individual,FWD,4296,1695,1685,7
27440,2017,25000,15534.275,Diesel,Automatic,Second,Individual,FWD,4417,1804,1494,5
2520,2009,140000,86991.94,Diesel,Manual,Third,Individual,FWD,4800,1832,1485,5
7784,2018,68818,42761.509478,Petrol,Automatic,First,Individual,FWD,3995,1735,1515,5
24640,2018,57000,35418.147,Diesel,Automatic,First,Individual,RWD,4735,1830,1795,7
10640,2020,39000,24233.469,Diesel,Automatic,First,Individual,FWD,3995,1695,1501,5
29097.6,2022,12050,7487.52055,Petrol,Automatic,First,Individual,RWD,4735,1830,1795,7
6552,2017,24100,14975.0411,Petrol,Manual,First,Individual,FWD,3955,1694,1544,5
4871.9888,2017,23000,14291.533,Petrol,Manual,First,Individual,FWD,3995,1695,1525,5
3304,2009,185000,114953.635,Diesel,Manual,First,Individual,FWD,3760,1690,1530,5
10192,2019,76000,47224.196,Diesel,Manual,First,Individual,FWD,4490,1730,1485,5
6328,2020,47000,29204.437,Petrol,Manual,First,Individual,FWD,3695,1600,1560,5
11760,2021,1910,1186.81861,Petrol,Automatic,First,Individual,FWD,3995,1790,1640,5
11088,2019,23000,14291.533,Diesel,Manual,First,Individual,FWD,4270,1780,1630,5
29008,2020,36978,22977.056838,Diesel,Automatic,Second,Individual,FWD,4456,1796,1416,5
11200,2016,33000,20505.243,Diesel,Manual,First,Individual,AWD,4585,1890,1785,7
2855.9888,2012,18954,11777.465934,Petrol,Manual,First,Individual,FWD,3585,1595,1550,5
6697.6,2015,58200,36163.7922,Petrol,Automatic,First,Individual,FWD,4370,1700,1475,5
6272,2016,80000,49709.68,Diesel,Manual,Second,Individual,FWD,3985,1734,1505,5
10920,2011,75000,46602.825,Diesel,Automatic,First,Individual,FWD,4701,1826,1427,5
29120,2017,64000,39767.744,Diesel,Automatic,First,Individual,FWD,4456,1796,1416,5
8344,2016,117048,72730.232808,Diesel,Manual,First,Individual,FWD,4386,1699,1466,5
5544,2017,47000,29204.437,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5
27440,2018,43290,26899.15059,Petrol,Automatic,First,Individual,FWD,4456,1796,1416,5
31920,2016,7000,4349.597,Diesel,Automatic,First,Individual,RWD,4686,1810,1442,5
10360,2016,150000,93205.65,Diesel,Manual,First,Individual,RWD,4456,1820,1995,8
12040,2013,125000,77671.375,Diesel,Automatic,First,Individual,RWD,4705,1840,1850,7
16800,2014,69000,42874.599,Diesel,Automatic,First,Individual,FWD,4915,1874,1455,5
7000,2011,40000,24854.84,Diesel,Manual,Second,Individual,AWD,4755,1775,1900,5
3640,2011,101347,62974.086737,Petrol,Manual,Third,Individual,FWD,4265,1695,1510,5
16632,2021,36700,22804.3157,Diesel,Manual,First,Individual,FWD,4585,1866,1774,8
18480,2012,240000,149129.04,Diesel,Automatic,First,Individual,AWD,4915,1874,1455,5
20160,2014,76529,47552.901259,Diesel,Automatic,First,Individual,FWD,4456,1796,1416,5
14448,2014,85000,52816.535,Diesel,Manual,Second,Individual,RWD,4585,1760,1760,7
6720,2016,99000,61515.729,Diesel,Manual,First,Individual,FWD,4331,1822,1671,5
