Year,Kms,Fuel,Transmission,Owner,Seller,Drivetrain,Length,Width,Height,Seating,Real_Price,Predicted_Price
2011,77000,Petrol,Manual,First,Individual,FWD,4540,1760,1480,5,4200.0,4474.708358029238
2018,71000,Diesel,Manual,Second,Individual,FWD,4375,1700,1475,5,9463.9888,9793.924593824268
2021,7900,Petrol,Automatic,First,Individual,FWD,4225,1760,1612,5,18200.0,17522.024990108664
2017,41296,Diesel,Automatic,First,Individual,RWD,4899,2094,1464,5,36960.0,33363.396803653224
2009,70200,Petrol,Automatic,Second,Individual,FWD,4420,1695,1480,5,3304.0,3210.1065297767545
2019,47000,Diesel,Manual,First,Individual,FWD,4270,1780,1665,5,13720.0,13429.086923496738
2015,89000,Diesel,Manual,Second,Individual,FWD,3886,1695,1525,5,5208.0,4984.020251757891
2015,152000,Diesel,Automatic,First,Individual,AWD,4629,1898,1653,5,24360.0,21110.269465670022
2014,53693,CNG,Manual,First,Individual,FWD,4265,1695,1685,7,7190.4,6680.903531126479
2017,32000,Petrol,Automatic,Second,Individual,FWD,3715,1635,1565,5,5600.0,5184.006153805321
2017,42000,Diesel,Automatic,First,Individual,AWD,4385,1831,1608,5,23520.0,29803.876021555923
2017,41624,Petrol,Automatic,Second,Individual,FWD,3695,1600,1560,5,4760.0,5265.262959994921
2014,43037,Petrol,Manual,First,Individual,FWD,3610,1680,1500,5,3640.0,4103.953046535098
2019,3583,Petrol,Manual,First,Individual,FWD,3445,1515,1475,5,5028.8,3549.7751967614913
2013,29135,Petrol,Manual,First,Individual,FWD,3995,1710,1505,5,4200.0,4000.4813302949815
2013,54000,Diesel,Manual,Third,Individual,FWD,3999,1765,1708,5,4468.8,4439.593588882143
2019,19000,Petrol,Automatic,First,Individual,FWD,3610,1645,1560,5,5208.0,6521.8587470575
2018,56000,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5,6160.0,5457.504419836318
2015,64000,CNG,Manual,First,Individual,FWD,3599,1495,1700,5,4200.0,3964.92360232546
2020,55000,Petrol,Manual,First,Individual,FWD,3995,1745,1510,5,7728.0,7857.2379462286935
2017,38000,Petrol,Automatic,Second,Individual,FWD,4440,1695,1495,5,8523.2,9633.643362511695
2019,25500,Diesel,Manual,First,Individual,FWD,3995,1790,1640,5,9240.0,10799.217863911732
2018,43000,Diesel,Automatic,Second,Individual,FWD,4424,1804,1494,5,29680.0,29980.3570278039
2013,26000,Diesel,Manual,First,Individual,FWD,3850,1695,1530,5,4760.0,3703.5833718986105
2019,44000,Petrol,Manual,First,Individual,FWD,4270,1780,1665,5,14280.0,12535.340253802067
2019,31000,Diesel,Automatic,First,Individual,FWD,4475,1850,1660,5,23407.9888,28716.4521471508
2017,28000,Diesel,Manual,First,Individual,FWD,3994,1811,1607,5,10360.0,4188.691512365896
2010,127000,Diesel,Manual,Third,Individual,AWD,4695,1840,1850,7,11200.0,9044.072158194638
2018,45000,Diesel,Automatic,First,Individual,RWD,4795,1967,1416,5,31920.0,33901.85024684512
2018,74797,Diesel,Manual,First,Individual,FWD,3998,1765,1647,5,10360.0,8608.30037456894
2019,8000,Diesel,Automatic,First,Individual,RWD,4686,1810,1442,5,46480.0,43327.45449072804
2009,90000,Diesel,Manual,Second,Individual,RWD,4430,1817,1975,8,4088.0,4566.736789650129
2015,94580,Petrol,Automatic,First,Individual,FWD,4659,1814,1476,5,9183.9888,11356.642611928519
2016,73190,Petrol,Manual,Second,Individual,FWD,3599,1495,1700,5,3864.0,3617.2553144019184
2014,78000,Diesel,Manual,Second,Individual,RWD,4430,1817,1975,8,4480.0,7676.429391687906
2017,86006,Diesel,Manual,First,Individual,FWD,3884,1695,1510,5,5431.9888,5778.278491099188
2017,41470,Diesel,Automatic,First,Individual,FWD,4585,1890,1785,7,13328.0,18167.82867816755
2015,65000,Diesel,Manual,Second,Individual,AWD,3920,1726,1930,6,7000.0,8279.243536034997
2018,28851,Diesel,Manual,First,Corporate,FWD,3840,1735,1530,5,6496.0,7889.428016100633
2015,67738,CNG,Manual,Second,Individual,FWD,3599,1495,1700,5,3640.0,3818.885399968145
2010,67000,Petrol,Automatic,Second,Individual,FWD,4701,1826,1427,5,11200.0,11532.866235388936
2021,8519,Petrol,Manual,First,Individual,AWD,3985,1820,1844,4,17640.0,17326.688540231607
2017,96095,Diesel,Automatic,First,Individual,RWD,4825,1860,1840,7,20059.2,26590.22971448672
2012,78000,Diesel,Manual,Second,Individual,FWD,4265,1695,1685,7,4760.0,4947.622438352616
2017,59267,Diesel,Automatic,First,Individual,FWD,4726,1842,1427,5,26880.0,30594.086047396737
2018,28000,Petrol,Automatic,First,Individual,FWD,4395,1818,1640,5,16744.0,19428.618159361104
2016,62591,Diesel,Manual,First,Individual,FWD,3998,1765,1647,5,6552.0,6751.2123325123475
2019,15000,Petrol,Automatic,First,Individual,FWD,3765,1660,1520,5,7280.0,6271.974299776835
2016,29000,Diesel,Automatic,First,Individual,AWD,4465,1900,1635,5,38640.0,30753.450594497786
2016,52600,Petrol,Manual,First,Individual,FWD,3971,1682,1469,5,4760.0,5643.075235007855
2016,120000,Diesel,Automatic,First,Individual,AWD,4838,1915,1837,7,31192.0,30134.489702424264
2017,68000,Petrol,Manual,First,Individual,FWD,3995,1745,1500,5,6283.2,6754.146649066651
2016,82567,Diesel,Manual,First,Individual,RWD,4735,1830,1795,7,20440.0,17634.084842982
2016,61223,Petrol,Manual,First,Individual,FWD,3765,1660,1520,5,5151.9888,4910.682975855549
2021,8000,Petrol,Manual,Second,Individual,AWD,3985,1820,1844,4,16800.0,17461.614936521924
2015,98000,Diesel,Manual,First,Individual,RWD,4585,1765,1760,7,11088.0,10580.921742441962
2018,23000,Petrol,Automatic,First,Individual,FWD,3955,1694,1544,5,8792.0,7436.413747209385
2018,47000,Petrol,Manual,First,Individual,FWD,4386,1699,1466,5,9856.0,8523.000329540897
2020,55055,Diesel,Manual,First,Individual,FWD,4300,1785,1595,5,10640.0,16156.267833112575
2015,80000,Diesel,Automatic,First,Individual,AWD,4385,1831,1608,5,19880.0,18506.576991685106
2014,58000,Diesel,Automatic,Second,Individual,FWD,4915,1874,1455,5,16240.0,17554.910348983667
2014,63000,Petrol,Automatic,First,Individual,FWD,4540,1760,1480,5,9968.0,6376.146486933246
